Section,Control Area,Question (Describe HOW control is implemented),Detailed Response,Risk Rating (Low/Medium/High/Critical),Evidence / Artifacts Link
Availability,Disaster Recovery,"Describe DR approach, last DR test results, and remediation actions.","The provided documentation indicates that a comprehensive Disaster Recovery (DR) approach, including an active geo-redundant application topology, is not fully implemented in this baseline architecture. The 'Architecture Debt' section explicitly states, 'No active geo-redundant application topology shown in baseline. A4 availability target may not be fully met for regional outage scenarios.' It recommends 'Add secondary-region deployment pattern, database failover group, and tested runbooks' as a next step.

Regarding DR test results, the 'Solution Risks' section identifies 'Insufficient DR testing' with the description: 'Failover plan exists but is untested.' Therefore, there are no last DR test results available in the documentation.

For remediation actions, the documentation suggests 'Exercise backup restore, region failover and incident runbooks regularly' as a mitigation for the 'Insufficient DR testing' risk. These are recommended future actions rather than completed remediation actions based on past test results.",High,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Vulnerability Management,Secure SDLC,"Describe secure coding practices, code review, and security gates.","The provided documentation partially addresses the control requirement. It mentions 'Container image scanning and patching' and 'Gate deployments on scan severity thresholds' as part of vulnerability management and mitigation for container supply chain risks. This indicates a security gate related to the deployment of container images. However, the documentation does not explicitly describe secure coding practices for application development, nor does it detail any code review processes specifically focused on security aspects of the application code itself. The focus is more on infrastructure and deployment security rather than the development lifecycle of the application code.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Vulnerability Management,SAST/DAST,"Describe static and dynamic scanning tools, frequency, and gating policy.","The provided documentation explicitly mentions the use of 'Container image scanning' as a vulnerability management control to mitigate the risk of 'Unscanned or vulnerable images deployed to AKS'. This constitutes a static scanning tool. Furthermore, a 'Gating policy' is defined for these scans: 'Gate deployments on scan severity thresholds'. This means that deployments are blocked if the scan results exceed predefined severity levels. However, the documentation does not specify the frequency of these container image scans (e.g., per build, daily, weekly) nor does it mention the use of any dynamic scanning tools (DAST) or their associated frequency and gating policies.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Vulnerability Management,Dependency Scanning,Describe SCA process and CVE remediation SLAs.,"The provided documentation describes a Software Composition Analysis (SCA) process in the context of container image scanning. Specifically, it states that 'Container image scanning and patching' is part of vulnerability management, and 'Gate deployments on scan severity thresholds' are used. This indicates that images are scanned for vulnerabilities, and deployments can be blocked if vulnerabilities exceed certain severity thresholds. The mitigation for the 'Container supply chain' risk also mentions 'Image scanning, signed images, trusted registries, patch cadence.' However, the documentation does not specify any CVE remediation Service Level Agreements (SLAs) or defined timeframes for addressing identified vulnerabilities.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Vulnerability Management,Container/Image Security,"Describe image scanning, base image policy, and artifact signing.","The provided documentation addresses image scanning and artifact signing for container images but does not explicitly detail a 'base image policy'.

**Image Scanning:** The documentation states that 'Container image scanning and patching' is a baseline control under 'Vulnerability management' within the 'Security Aspects' section. It also specifies that 'Gate deployments on scan severity thresholds' should be implemented. Furthermore, 'Image scanning' is listed as a mitigation for the 'Container supply chain' risk, which involves 'Unscanned or vulnerable images deployed to AKS'.

**Artifact Signing:** The documentation mentions 'signed images' as a mitigation strategy for the 'Container supply chain' risk, indicating that artifact signing (specifically for images) is a control in place.

**Base Image Policy:** While related concepts such as 'trusted registries' and 'patch cadence' are mentioned as mitigations for container supply chain risks, a specific 'base image policy' outlining requirements for the selection, approval, or maintenance of base images is not explicitly described in the provided context.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Vulnerability Management,Patch Management,Describe OS/runtime patching cadence and verification process.,"The provided documentation mentions 'patch cadence' as a mitigation for container supply chain risk and 'Container image scanning and patching' as part of vulnerability management, with deployments gated on scan severity thresholds. However, it does not specify the actual patching cadence (e.g., frequency, schedule) for the underlying OS or runtime components of the AKS cluster (such as AKS nodes or Kubernetes runtime). Furthermore, there is no description of a verification process for these patches, such as testing procedures, rollback plans, or post-patch validation steps. The documentation focuses on container image patching and scanning, but not the broader OS/runtime patching and verification.",High,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Vulnerability Management,Penetration Testing,"Describe penetration testing coverage, findings, and remediation status.","The provided documentation does not contain any information regarding penetration testing coverage, findings, or remediation status for the Azure AKS 3-tier architecture. While the documents discuss various security aspects such as encryption, identity and access management, network security, and vulnerability management (e.g., container image scanning), there is no mention of penetration testing as a security control or activity.",High,N/A
Connectivity,Upstream Systems,"Describe upstream integrations, authentication, encryption, and data exchanged.","Upstream integrations involve on-premises systems such as ERP, CRM, identity-aware producer APIs, and batch source systems connecting to the AKS-hosted application. These systems initiate transactions or provide master/reference data. The integration occurs via approved hybrid paths (ExpressRoute/VPN) to the Ingress/WAF layer of the AKS application. The typical patterns for data exchange include REST over HTTPS, message/file ingress, and scheduled data feeds.

For encryption, all hybrid integration traffic, including connections from upstream applications, is mandated to use TLS/HTTPS. Specifically, inbound connections from client/upstream apps to the Ingress/WAF use TCP port 443 with HTTPS only.

Regarding authentication, the document states that upstream applications connect to the Ingress/WAF, with recommended controls including 'HTTPS only, WAF, certificate management, IP allow-list if internal.' This implies that authentication and access control for upstream systems rely on HTTPS (server-side certificate validation), potential client certificate management (though mutual TLS is not explicitly mandated), and IP-based access restrictions. The mention of 'identity-aware producer APIs' suggests that some upstream systems may present their own identity, but the specific mechanisms for validating these identities at the AKS application boundary are not further detailed in the provided documentation.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Connectivity,Downstream Systems,Describe downstream integrations and data sharing controls.,"Downstream integrations involve the AKS-hosted application sending data to on-premises systems such as BI/reporting, notification gateways, external partner systems, and archive platforms. The typical patterns for these integrations include REST over HTTPS, event/webhook, file drop, and database extracts where approved. The documentation states that these downstream systems consume 'processed business events or curated datasets'.

Data sharing controls include:
1.  **Network Connectivity**: The architecture prefers initiated outbound connections from Azure to on-premises systems for callbacks, status polling, and API consumption to reduce inbound exposure. Hybrid integration paths (ExpressRoute/VPN) are used, and all flows are allow-listed by source, destination, protocol, and environment using Firewall rules.
2.  **Encryption in Transit**: For hybrid integration, HTTPS or other TLS-protected protocols are mandated to ensure data is encrypted during transfer.
3.  **Data Protection**: Azure SQL Database uses Transparent Data Encryption (TDE) for data at rest. Stronger column-level protection (Always Encrypted) can be adopted for sensitive columns where business data requires it. Backups, logs, and storage accounts are also encrypted at rest.
4.  **Access Controls**: The application uses managed identity with least-privilege database roles for connecting to Azure SQL, ensuring that the application only has necessary permissions to the data it processes before sharing.
5.  **Overall Security Posture**: The application's CIA rating (C2/I3/A4) implies the use of strong identity, encryption, private networking, controlled administrative access, transaction controls, auditing, approvals, separation of duties, and tamper-evident logs, which collectively contribute to data sharing controls.

However, the documentation identifies 'Data classification implementation' as an architecture debt, noting that 'Protection controls may not be uniformly applied to all tables/columns' and recommends performing data discovery and mapping controls to data domains. This indicates that while general security controls are in place, granular, classification-driven data sharing controls are not fully mature.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Connectivity,Network Segmentation,"Describe firewall rules, VPC/VNET segmentation, and private endpoints.","The architecture explicitly addresses firewall rules, network segmentation (VPC/VNET segmentation equivalent in Azure), and private endpoints.

1.  **Firewall Rules**: The documentation states that 'All flows should be allow-listed by source, destination, protocol, and environment.' It explicitly mentions 'Azure Firewall' and 'NSGs' (Network Security Groups) as recommended controls and mitigations for excessive network exposure. Under 'Network security,' it specifies 'Deny by default and explicitly allow required flows only' using NSGs and Azure Firewall, particularly for outbound connections to on-premises APIs.

2.  **VPC/VNET Segmentation**: The 'Executive Summary' and 'Logical Architecture' sections emphasize 'segmented network zones' and 'security and routing zones.' The architecture is designed with distinct layers/zones such as Ingress/Edge, Web tier, Application tier, Data tier, and Hybrid integration, each with defined responsibilities and trust boundaries. This logical separation, combined with network policies, effectively implements network segmentation within the Azure VNET environment.

3.  **Private Endpoints**: The documentation clearly states that 'Azure SQL is accessed over private endpoint' and that 'Private connectivity preferred' for app-to-DB and hybrid integration paths. Private endpoints are listed as a mitigation for 'Excessive network exposure' and as a baseline control under 'Network security.' The 'Network Port Connectivity Details' section confirms the use of 'Private endpoint' for SQL connectivity.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Connectivity,API Security,"Describe API authentication, rate limiting, schema validation, and WAF controls.","The provided documentation describes the following controls:

*   **API Authentication**: For outbound calls from the application tier to on-premises APIs, the architecture recommends 'mutual auth where supported'. For inbound 'User/API access to web tier', the documentation specifies HTTPS, WAF, and IP allow-listing if internal. However, it does not explicitly detail the specific API authentication mechanism (e.g., API keys, OAuth, JWT) used by external clients or upstream applications to authenticate with the application's APIs. Internal AKS workloads accessing Azure SQL Database utilize Microsoft Entra Workload Identity.

*   **Rate Limiting**: The documentation does not describe any specific API rate limiting controls for the application's ingress or APIs. It mentions 'Database throttling / sizing' as a potential risk related to Azure SQL, but this is distinct from API rate limiting.

*   **Schema Validation**: The documentation does not describe any API request schema validation controls. It notes 'detailed schema/data classification not shown' as an architecture debt item related to data classification, which is not the same as API request schema validation.

*   **WAF Controls**: The architecture explicitly includes WAF (Web Application Firewall) controls. An Application Gateway WAF or NGINX ingress is used to terminate inbound HTTPS, route traffic, and enforce web protections. This is noted to improve OWASP protection and provide centralized entry control for 'User/API access to web tier'.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Connectivity,Third-Party Risk,"Describe due diligence, monitoring, and contractual controls for third parties.","The provided documentation, 'Azure AKS 3tier Architecture Documentation' and 'AKS Application Support Pack', focuses on the technical architecture, security controls, and operational aspects of the AKS application and its integration with internal on-premises systems. While the 'Azure AKS 3tier Architecture Documentation' mentions 'external partner systems' as a type of downstream application, it does not provide any details regarding due diligence processes, specific monitoring requirements, or contractual controls for these or any other third parties. The documentation does not describe how third-party relationships are managed from a risk perspective, nor does it outline any mechanisms for assessing, monitoring, or enforcing contractual obligations with external entities.",High,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Data Governance,Data Inventory,"Describe stored data types, classification, and purpose.","The documentation describes several stored data types and their purposes. The primary data type is transactional and relational data stored in Azure SQL Database, used for persistence, querying, auditing, and backups. Other data types include non-database secrets and TLS certificates stored in Azure Key Vault for centralized lifecycle management, container images pulled from ACR, observability and posture management data collected by Azure Monitor and Defender for Cloud, and various logs (container logs, platform logs, SQL auditing logs). The overall purpose is to support the 3-tier application's functionality and its integration with hybrid upstream/downstream systems.

Regarding classification, the application has an overall CIA rating of Confidentiality C2 (Moderate confidentiality, business data is sensitive), Integrity I3 (High integrity requirement), and Availability A4 (Very high availability expectation). The document notes that 'business data is sensitive but not at the highest restricted tier.' It also mentions 'sensitive columns' within Azure SQL that might require stronger protection like Always Encrypted. However, the documentation explicitly identifies 'Data classification implementation' as an 'Architecture Debt,' stating that 'detailed schema/data classification not shown' and that 'Protection controls may not be uniformly applied to all tables/columns.' It recommends performing data discovery and mapping controls to data domains, indicating that a granular, detailed data classification is currently lacking.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Data Governance,Retention Policy,Describe retention duration per data type and regulatory alignment.,The provided documentation does not describe retention duration per data type or its alignment with regulatory requirements. The 'Architecture Debt' section explicitly states that 'detailed schema/data classification not shown' and recommends to 'Perform data discovery and map controls to data domains.' This indicates that the necessary foundational work for defining data retention based on data types and regulatory alignment has not been completed or documented in this reference architecture.,High,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Data Governance,Deletion & Purging,"Describe automated deletion, archival, and audit trail process.","The documentation provides evidence for the existence of audit trail mechanisms but lacks detail on the comprehensive audit trail *process*, and does not address automated deletion or archival processes. 

For **Audit Trail Process**:
*   The architecture explicitly states that Azure SQL Database includes 'auditing' features. 
*   Under '8.3 Identity and Access Management (IAM)', the 'Monitoring and audit' control area specifies the use of 'Azure Monitor, Defender for Cloud, SQL auditing' to 'Log access, changes, anomalous behavior and admin operations'. This indicates that audit trails are collected for database activities, platform events, and administrative actions.
*   The 'AKS Application Support Pack' mentions 'Monitoring and Observability Metrics' such as 'Disk usage for container logs' and 'Kubernetes events and failed deployments', which contribute to an audit trail.
However, the documentation does not elaborate on the *process* for managing these audit trails, including retention policies, review procedures, or how they are secured against tampering.

For **Automated Deletion and Archival**:
*   The documentation mentions 'built-in backups' for Azure SQL Database and that 'Backups, logs, and storage accounts used by the platform should also remain encrypted at rest'. This confirms that backups exist, but it does not describe an automated archival *process* for application data or logs, nor does it detail any automated data deletion policies or mechanisms. 
*   The 'Architecture Debt' section notes 'Data classification implementation' as a debt item, stating that 'Protection controls may not be uniformly applied to all tables/columns'. This implies that detailed data lifecycle management, which would include deletion and archival policies, is not fully defined.",High,"http://localhost:3000/en/azure-aks-3tier-architecture-documentation,http://localhost:3000/en/azure-aks-support-pack"
Data Governance,Backup Retention Alignment,Describe how backup retention aligns with data deletion obligations.,"The provided documentation mentions that Azure SQL Database has built-in backups and that backups, logs, and storage accounts used by the platform should remain encrypted at rest (Section 3 and 8.1 of `azure-aks-3tier-architecture-documentation`). However, the documentation does not specify any details regarding backup retention periods or how these retention periods align with data deletion obligations. Furthermore, the 'Architecture Debt' section explicitly states that 'detailed schema/data classification not shown' and recommends to 'Perform data discovery and map controls to data domains,' indicating that the foundational work for defining data deletion obligations is not yet complete or documented.",High,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Cyber Risk Exposure,Internet Exposure,"Describe perimeter protections (WAF, DDoS, CDN, bot protection).","The provided documentation explicitly states that Web Application Firewall (WAF) is implemented as part of the ingress security. The 'Ingress / Edge' layer uses 'Application Gateway WAF or NGINX ingress' to 'Terminate inbound HTTPS, route traffic, enforce web protections'. An architecture decision confirms 'WAF-protected HTTPS ingress' to 'Improve OWASP protection and centralized entry control'. However, there is no mention of DDoS protection, CDN, or bot protection within the provided wiki documentation context. Therefore, while WAF is addressed, other key perimeter protections are not documented.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Cyber Risk Exposure,Attack Surface Management,"Describe public endpoint inventory, scanning, and hardening practices.","The documentation indicates that public endpoints are acknowledged and subject to hardening practices, but a formal inventory and scanning process specifically for the public endpoints themselves (beyond container images) is not explicitly detailed. The architecture emphasizes private connectivity, stating 'Private connectivity preferred Reduces internet exposure for app-to-DB and hybrid integration paths.' For necessary public exposure, 'WAF-protected HTTPS ingress' is used to improve OWASP protection and centralized entry control. The document also lists 'Excessive network exposure' as a solution risk, with mitigation strategies including 'Private endpoints, NSGs, Azure Firewall, policy guardrails and regular exposure review.' This 'regular exposure review' implies a form of inventory management. For scanning, 'Container image scanning and patching' is mentioned under vulnerability management, but there is no explicit mention of external vulnerability scanning or penetration testing specifically for the public endpoints (e.g., the WAF or ingress controller). Hardening is addressed through the use of WAF, HTTPS-only ingress, certificate management, IP allow-lists (if internal), NSGs, Azure Firewall, and policy guardrails.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Cyber Risk Exposure,Account Takeover Protection,"Describe MFA, session controls, anomaly detection for login risk.","The provided documentation partially addresses the control requirement. Multi-Factor Authentication (MFA) is explicitly mentioned as a requirement for human administrator access, stating, 'Human administrator access should use Entra groups, MFA, and role-based assignment; no shared administrator accounts should be used.' This covers MFA for privileged users. However, the documentation does not explicitly describe general session controls for all users or application sessions. While 'PIM/JIT' (Privileged Identity Management / Just-in-Time access) is mentioned for platform administrators, which implies time-bound access, it is not a comprehensive description of session controls. Furthermore, there is no mention of anomaly detection for login risk within the provided context.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Cyber Risk Exposure,Supply Chain Security,"Describe build pipeline security, artifact signing, and trusted registries.","The documentation addresses build pipeline security, artifact signing, and trusted registries primarily in the context of mitigating 'Container supply chain' risks. It explicitly states that 'Image scanning, signed images, trusted registries, patch cadence' are required mitigations for the risk of 'Unscanned or vulnerable images deployed to AKS'. Additionally, under 'Vulnerability management', it mandates 'Container image scanning and patching' and specifies that deployments should be 'Gate[d]... on scan severity thresholds'. While a detailed description of the build pipeline's internal security mechanisms is not provided, the architecture clearly defines the requirements for secure artifacts (signed images, trusted registries) and processes (image scanning, gating deployments) that are integral to a secure build and deployment pipeline.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Operational Security,SOC Onboarding,"Describe SOC monitoring coverage, dashboards, and detection use cases.","The documentation explicitly states that 'SOC / operations' is the owner for 'Monitoring and audit' activities. The baseline control for monitoring and audit includes 'Azure Monitor, Defender for Cloud, SQL auditing' to 'Log access, changes, anomalous behavior and admin operations.' The architecture also mentions 'Monitoring dashboards' as part of the administrative plane. 

Specific monitoring coverage, as detailed in the AKS Application Support Pack, includes: AKS Cluster Health (node readiness, CPU/memory), Pod health (restart counts, CPU/memory), Application response time and request latency, HTTP error rates (4xx, 5xx), Azure SQL Database CPU/DTU utilization, Database connection pool usage, Network latency between AKS and Azure SQL, Ingress traffic volume and request throughput, Disk usage for container logs, and Kubernetes events and failed deployments.

Detection use cases are exemplified by the 'Alerting Threshold Examples' which include: CPU utilization above 80% for 10 minutes, Pod restart count greater than 3 within 5 minutes, Application error rate above 5%, Database CPU above 85% for 15 minutes, and API latency above 2 seconds for 5 minutes. Additionally, the solution risks section highlights 'Container supply chain' vulnerabilities and mitigations like 'Image scanning', implying detection for vulnerable images.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation;http://localhost:3000/en/azure-aks-support-pack
Operational Security,Security Reviews,Describe periodic security posture reviews and KPI tracking.,"The provided documentation partially addresses the control requirement. The 'AKS Application Support Pack' defines a 'Target Availability: 99.9% monthly uptime' as an SLA, which serves as a key performance indicator (KPI) for availability. It also lists various 'Monitoring and Observability Metrics' such as AKS cluster health, pod health, application response time, HTTP error rates, and database utilization, which are foundational for KPI tracking. However, the documentation does not explicitly describe a process for 'periodic security posture reviews' in a comprehensive manner. While the 'Solution Risks' section in the 'Azure AKS 3tier Architecture Documentation' mentions 'regular exposure review' as a mitigation for excessive network exposure, this is a specific review and not a general security posture assessment. Furthermore, the 'Architecture Debt' section notes that 'Operational SLOs Availability target implied but SLO/SLI/error budgets not defined,' indicating a gap in fully defined operational KPIs beyond the general availability target. There is no explicit mention of tracking security-specific KPIs or conducting regular, holistic security posture reviews.",Medium,http://localhost:3000/en/azure-aks-support-pack;http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Operational Security,Audit Trail Integrity,Describe how audit logs are protected against tampering.,"The provided documentation states that for a high integrity requirement (I3), the design consequence includes the use of ""tamper-evident logs"". This indicates an intention to protect audit logs from unauthorized alteration. Additionally, it mentions that ""Backups, logs, and storage accounts used by the platform should also remain encrypted at rest,"" which provides a layer of protection for logs when stored. However, the documentation does not describe the specific technical mechanisms or processes implemented to ensure logs are tamper-evident (e.g., immutability, cryptographic hashing, WORM storage, etc.), beyond stating the design consequence and encryption at rest.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Compliance,Regulatory Mapping,Describe applicable regulations and mapped controls.,"The provided documentation defines a CIA (Confidentiality, Integrity, Availability) rating for the application (C2/I3/A4) and outlines various baseline controls implemented across different areas such as authentication, authorization, network security, secrets management, data protection, monitoring, and vulnerability management. For example, it specifies Microsoft Entra-based authentication for Azure SQL, Azure RBAC, private endpoints, Key Vault for secrets, TDE for encryption at rest, and container image scanning. However, the documentation *does not* describe any specific applicable regulations (e.g., GDPR, HIPAA, PCI DSS, SOX) that the architecture adheres to, nor does it explicitly map the listed controls to any such external regulatory requirements. It only maps controls to the internal CIA rating.",High,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Compliance,Evidence Management,Describe where audit evidence is stored and how compliance is validated pre-go-live.,"Audit evidence for the architecture is stored in Azure Monitor, Defender for Cloud, and Azure SQL auditing. These services are responsible for logging access, changes, anomalous behavior, and administrative operations. The SOC/operations team is identified as the owner for monitoring and audit activities. Regarding compliance validation pre-go-live, the documentation mentions 'pre-prod validation' as a mitigation step specifically for 'Identity misconfiguration' to ensure that managed identity, federation, or DB role grants are correctly configured. However, a broader, comprehensive process for validating overall compliance across all control areas pre-go-live is not explicitly detailed in the provided documentation.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Compliance,Exception Management,Describe process for documenting and approving policy exceptions.,"The provided documentation, 'Azure AKS 3tier Architecture Documentation' and 'AKS Application Support Pack', does not contain any information or description regarding a process for documenting and approving policy exceptions. The documents outline the architecture, security controls, and operational support, but do not address how deviations from established policies or controls would be handled or approved.",High,N/A
Final Risk Summary,Top Risks,"Describe top 5 risks, mitigation plan, and residual risks accepted.","The provided documentation, specifically the 'Solution Risks' section within the 'Azure AKS 3tier Architecture Documentation', identifies six key risks, their descriptions, initial likelihood and impact, and corresponding mitigation plans. While the document lists six risks, it does not explicitly rank them as 'top 5' or provide a specific acceptance of the *residual risk* level for each after mitigation. The risks and their mitigations are as follows:

1.  **Hybrid link failure:** Loss or degradation of ExpressRoute/VPN affects upstream/downstream integrations. (Likelihood: Medium, Impact: High). Mitigation: Dual circuits/tunnels, route monitoring, retries, queueing for async flows.
2.  **Identity misconfiguration:** Managed identity, federation, or DB role grants are incorrectly configured. (Likelihood: Medium, Impact: High). Mitigation: IaC, least privilege review, pre-prod validation, break-glass admin process.
3.  **Excessive network exposure:** Public endpoints left open beyond requirement. (Likelihood: Low-Medium, Impact: High). Mitigation: Private endpoints, NSGs, Azure Firewall, policy guardrails and regular exposure review.
4.  **Database throttling / sizing:** Azure SQL tier insufficient for workload peaks. (Likelihood: Medium, Impact: Medium-High). Mitigation: Performance testing, autoscale planning, telemetry-based right sizing.
5.  **Container supply chain:** Unscanned or vulnerable images deployed to AKS. (Likelihood: Medium, Impact: High). Mitigation: Image scanning, signed images, trusted registries, patch cadence.
6.  **Insufficient DR testing:** Failover plan exists but is untested. (Likelihood: Medium, Impact: High). Mitigation: Exercise backup restore, region failover and incident runbooks regularly.

The document provides the initial likelihood and impact for each risk and outlines mitigation strategies. However, it does not explicitly state the *accepted residual risk* level for each risk after the application of these mitigations.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Final Risk Summary,Go-Live Recommendation,Provide recommended Go/No-Go decision with justification.,"Based on the provided Wiki Documentation Context, a 'No-Go' decision is recommended for immediate production deployment of a specific application using this architecture. The documentation explicitly states that it is a 'sample reference design and not an implementation HLD/LLD tied to a specific application codebase.' It is 'Prepared for solution architecture planning and review,' indicating it's a foundational document rather than a final deployment blueprint.

Furthermore, the document identifies significant 'Architecture Debt' items, such as 'No active geo-redundant application topology shown in baseline' (impacting A4 availability target), and 'Service-to-service mTLS Optional / not mandated in baseline.' It also lists 'Solution Risks' like 'Hybrid link failure,' 'Identity misconfiguration,' and 'Insufficient DR testing,' which, while having mitigation strategies, are presented as inherent risks within this baseline design. These items require further design, implementation, and validation before a production 'Go' decision can be made for a specific application.",High,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
